filename,loc_physical,loc,cc,fan_in,fan_out
tools/testing/selftests/futex/functional/futex_wait.c,171,58,14,5,6
tools/testing/selftests/futex/functional/futex_wait_wouldblock.c,111,83,7,4,9
tools/testing/selftests/futex/functional/futex_wait_uninitialized_heap.c,123,87,7,6,13
tools/testing/selftests/futex/functional/futex_waitv.c,237,30,26,7,13
tools/testing/selftests/futex/functional/futex_requeue_pi.c,420,109,44,26,10
tools/testing/selftests/futex/functional/futex_requeue_pi_mismatched_ops.c,135,88,10,6,9
tools/testing/selftests/futex/functional/futex_numa_mpol.c,235,162,25,11,12
tools/testing/selftests/futex/functional/futex_requeue.c,136,100,10,5,4
tools/testing/selftests/rlimits/rlimits-per-userns.c,161,116,23,5,16
tools/testing/selftests/firmware/fw_namespace.c,148,107,25,5,13
tools/testing/selftests/rseq/rseq.c,308,139,23,10,17
tools/testing/selftests/rseq/param_test.c,1660,974,189,67,18
tools/testing/selftests/rseq/basic_percpu_ops_test.c,353,208,39,22,10
tools/testing/selftests/rseq/basic_test.c,60,49,6,4,7
tools/testing/selftests/rseq/syscall_errors_test.c,124,23,15,4,6
tools/testing/selftests/safesetid/safesetid-test.c,542,463,85,17,16
tools/testing/selftests/ia64/aliasing-test.c,260,193,35,12,12
tools/testing/selftests/move_mount_set_group/move_mount_set_group_test.c,375,138,43,13,15
tools/testing/selftests/tty/tty_tstamp_update.c,106,55,11,5,9
tools/testing/selftests/intel_pstate/msr.c,40,30,4,3,10
tools/testing/selftests/intel_pstate/aperf.c,93,76,8,3,13
tools/testing/selftests/net/rxtimestamp.c,448,196,51,24,18
tools/testing/selftests/net/sample_ret0.bpf.c,10,0,2,1,0
tools/testing/selftests/net/skf_net_off.c,244,129,17,7,28
tools/testing/selftests/net/so_rcv_listener.c,168,140,14,10,11
tools/testing/selftests/net/psock_fanout.c,611,223,66,16,25
tools/testing/selftests/net/sk_so_peek_off.c,202,92,30,15,9
tools/testing/selftests/net/hwtstamp_config.c,137,111,14,4,10
tools/testing/selftests/net/stress_reuseport_listen.c,105,79,12,3,7
tools/testing/selftests/net/ip_local_port_range.c,463,167,12,14,3
tools/testing/selftests/net/tcp_inq.c,179,147,22,10,10
tools/testing/selftests/net/ipv6_flowlabel.c,274,0,33,11,18
tools/testing/selftests/net/udpgso_bench_rx.c,409,100,56,14,28
tools/testing/selftests/net/reuseport_bpf_numa.c,262,62,31,9,17
tools/testing/selftests/net/udpgso.c,625,66,53,13,22
tools/testing/selftests/net/timestamping.c,551,61,59,21,14
tools/testing/selftests/net/tap.c,434,342,17,15,16
tools/testing/selftests/net/txtimestamp.c,951,235,110,20,30
tools/testing/selftests/net/so_netns_cookie.c,61,48,10,2,9
tools/testing/selftests/net/nl_netdev.py,254,156,29,11,5
tools/testing/selftests/net/sk_connect_zero_addr.c,62,50,7,2,4
tools/testing/selftests/net/nettest.c,2254,917,278,100,27
tools/testing/selftests/net/sk_bind_sendto_listen.c,80,64,10,2,4
tools/testing/selftests/net/socket.c,94,68,6,6,8
tools/testing/selftests/net/bpf_offload.py,1357,1077,160,67,15
tools/testing/selftests/net/tun.c,162,130,7,4,13
tools/testing/selftests/net/reuseport_bpf.c,639,219,57,19,17
tools/testing/selftests/net/gro.c,1330,571,82,43,20
tools/testing/selftests/net/io_uring_zerocopy_tx.c,320,0,43,7,35
tools/testing/selftests/net/link_netns.py,141,107,16,5,5
tools/testing/selftests/net/ioam6_parser.c,1101,962,252,6,11
tools/testing/selftests/net/ipsec.c,2342,486,272,50,28
tools/testing/selftests/net/so_incoming_cpu.c,274,51,15,18,6
tools/testing/selftests/net/reuseport_addr_any.c,244,183,25,7,13
tools/testing/selftests/net/proc_net_pktgen.c,690,160,8,5,5
tools/testing/selftests/net/busy_poller.c,358,182,42,11,20
tools/testing/selftests/net/reuseport_bpf_cpu.c,259,56,33,8,14
tools/testing/selftests/net/sample_map_ret0.bpf.c,34,0,4,0,2
tools/testing/selftests/net/tcp_mmap.c,612,395,77,18,20
tools/testing/selftests/net/bind_timewait.c,92,0,1,3,3
tools/testing/selftests/net/bind_wildcard.c,809,3,13,11,3
tools/testing/selftests/net/netlink-dumps.c,239,24,9,10,16
tools/testing/selftests/net/reuseaddr_conflict.c,114,93,14,10,9
tools/testing/selftests/net/ipv6_flowlabel_mgr.c,199,0,17,4,16
tools/testing/selftests/net/epoll_busy_poll.c,320,68,4,12,13
tools/testing/selftests/net/msg_zerocopy.c,827,357,112,22,30
tools/testing/selftests/net/ip_defrag.c,472,159,57,13,13
tools/testing/selftests/net/psock_snd.c,399,41,42,11,27
tools/testing/selftests/net/cmsg_sender.c,579,19,64,11,17
tools/testing/selftests/net/tcp_fastopen_backup_key.c,333,176,45,16,13
tools/testing/selftests/net/bind_bhash.c,144,82,17,7,6
tools/testing/selftests/net/txring_overwrite.c,179,138,13,8,27
tools/testing/selftests/net/rtnetlink.py,30,16,3,2,2
tools/testing/selftests/net/tls.c,3091,374,104,299,17
tools/testing/selftests/net/reuseport_dualstack.c,210,159,26,8,12
tools/testing/selftests/net/psock_tpacket.c,850,662,42,23,23
tools/testing/selftests/net/fin_ack_lat.c,151,105,21,9,11
tools/testing/selftests/net/tfo.c,171,25,22,9,13
tools/testing/selftests/net/nat6to4.bpf.c,285,163,37,5,15
tools/testing/selftests/net/so_txtime.c,517,130,56,21,20
tools/testing/selftests/net/reuseaddr_ports_exhausted.c,162,112,22,8,6
tools/testing/selftests/net/sctp_hello.c,137,114,18,5,7
tools/testing/selftests/net/toeplitz.c,589,82,58,24,29
tools/testing/selftests/net/udpgso_bench_tx.c,734,143,77,16,23
